,subject,relation,object
9852,oakland,sunday,"windy, low of 90f, high of 100f"
9853,cleveland,monday,"dry, low of 30f, high of 40f"
9854,cleveland,tuesday,"dry, low of 70f, high of 90f"
9855,cleveland,wednesday,"rain, low of 60f, high of 70f"
9856,cleveland,thursday,"windy, low of 20f, high of 40f"
9857,cleveland,friday,"snow, low of 90f, high of 100f"
9858,cleveland,saturday,"dew, low of 40f, high of 50f"
9859,cleveland,sunday,"hail, low of 90f, high of 100f"
9861,the_westin,traffic_info,car collision nearby
9870,coupa,traffic_info,road block nearby
9871,coupa,distance,4 miles
9886,jing_jing,distance,7 miles
9897,stanford_shopping_center,traffic_info,heavy traffic
9912,sigona_farmers_market,traffic_info,road block nearby
9924,cafe_venetia,traffic_info,car collision nearby
9932,san_jose,monday,"misty, low of 50f, high of 70f"
9933,san_jose,tuesday,"clear skies, low of 30f, high of 50f"
9934,san_jose,wednesday,"overcast, low of 20f, high of 30f"
9937,san_jose,saturday,"hail, low of 40f, high of 60f"
9938,san_jose,sunday,"dry, low of 20f, high of 40f"
9939,grand_rapids,monday,"cloudy, low of 80f, high of 100f"
9940,grand_rapids,tuesday,"windy, low of 50f, high of 70f"
9941,grand_rapids,wednesday,"drizzle, low of 20f, high of 40f"
9942,grand_rapids,thursday,"rain, low of 60f, high of 70f"
9943,grand_rapids,friday,"dew, low of 20f, high of 30f"
9944,grand_rapids,saturday,"windy, low of 90f, high of 100f"
9945,grand_rapids,sunday,"cloudy, low of 70f, high of 80f"
9946,durham,monday,"foggy, low of 20f, high of 40f"
9947,durham,tuesday,"dew, low of 60f, high of 70f"
9948,durham,wednesday,"hot, low of 90f, high of 100f"
9949,durham,thursday,"dry, low of 50f, high of 70f"
9950,durham,friday,"snow, low of 30f, high of 40f"
9951,durham,saturday,"clear skies, low of 40f, high of 60f"
9952,durham,sunday,"foggy, low of 60f, high of 70f"
9954,cleveland,tuesday,"drizzle, low of 60f, high of 70f"
9955,cleveland,wednesday,"dry, low of 70f, high of 80f"
9956,cleveland,thursday,"overcast, low of 70f, high of 90f"
9957,cleveland,friday,"drizzle, low of 50f, high of 70f"
9958,cleveland,saturday,"clear skies, low of 60f, high of 80f"
9959,cleveland,sunday,"clear skies, low of 30f, high of 40f"
9960,san_mateo,monday,"rain, low of 90f, high of 100f"
9961,san_mateo,tuesday,"misty, low of 50f, high of 70f"
9962,san_mateo,wednesday,"drizzle, low of 60f, high of 70f"
9963,san_mateo,thursday,"raining, low of 20f, high of 30f"
9964,san_mateo,friday,"hot, low of 80f, high of 100f"
9965,san_mateo,saturday,"rain, low of 20f, high of 30f"
9966,san_mateo,sunday,"dry, low of 50f, high of 60f"
9967,new_york,monday,"drizzle, low of 20f, high of 30f"
9968,new_york,tuesday,"overcast, low of 20f, high of 40f"
9970,new_york,thursday,"foggy, low of 70f, high of 90f"
9971,new_york,friday,"rain, low of 90f, high of 100f"
9972,new_york,saturday,"stormy, low of 40f, high of 60f"
9973,new_york,sunday,"dry, low of 50f, high of 70f"
9974,boston,monday,"rain, low of 60f, high of 70f"
9975,boston,tuesday,"overcast, low of 70f, high of 90f"
9976,boston,wednesday,"windy, low of 20f, high of 30f"
9978,boston,friday,"raining, low of 40f, high of 50f"
9979,boston,saturday,"snow, low of 70f, high of 80f"
9980,boston,sunday,"misty, low of 60f, high of 70f"
9981,new_york,monday,"clear skies, low of 30f, high of 50f"
9982,new_york,tuesday,"warm, low of 60f, high of 80f"
9983,new_york,wednesday,"hail, low of 20f, high of 30f"
9985,new_york,friday,"misty, low of 50f, high of 60f"
9986,new_york,saturday,"rain, low of 80f, high of 90f"
9987,new_york,sunday,"clear skies, low of 80f, high of 100f"
9989,san_jose,tuesday,"blizzard, low of 20f, high of 30f"
9992,san_jose,friday,"clear skies, low of 60f, high of 70f"
9993,san_jose,saturday,"humid, low of 80f, high of 90f"
9994,san_jose,sunday,"snow, low of 50f, high of 60f"
9995,alhambra,monday,"dew, low of 80f, high of 90f"
9996,alhambra,tuesday,"cloudy, low of 30f, high of 40f"
9997,alhambra,wednesday,"rain, low of 50f, high of 70f"
9998,alhambra,thursday,"clear skies, low of 30f, high of 40f"
9999,alhambra,friday,"dew, low of 70f, high of 90f"
10000,alhambra,saturday,"clear skies, low of 40f, high of 60f"
10001,alhambra,sunday,"foggy, low of 20f, high of 30f"
10002,grand_rapids,monday,"stormy, low of 20f, high of 40f"
10003,grand_rapids,tuesday,"windy, low of 40f, high of 60f"
10004,grand_rapids,wednesday,"hot, low of 60f, high of 70f"
10005,grand_rapids,thursday,"dry, low of 20f, high of 30f"
10006,grand_rapids,friday,"rain, low of 50f, high of 60f"
10007,grand_rapids,saturday,"misty, low of 60f, high of 70f"
10008,grand_rapids,sunday,"foggy, low of 90f, high of 100f"
10009,downtown_chicago,monday,"hail, low of 80f, high of 100f"
10010,downtown_chicago,tuesday,"raining, low of 60f, high of 70f"
10011,downtown_chicago,wednesday,"windy, low of 80f, high of 90f"
10012,downtown_chicago,thursday,"drizzle, low of 90f, high of 100f"
10013,downtown_chicago,friday,"overcast, low of 80f, high of 90f"
10014,downtown_chicago,saturday,"warm, low of 90f, high of 100f"
10016,redwood_city,monday,"overcast, low of 80f, high of 90f"
10019,redwood_city,thursday,"clear skies, low of 50f, high of 70f"
10020,redwood_city,friday,"overcast, low of 70f, high of 80f"
10021,redwood_city,saturday,"windy, low of 20f, high of 40f"
10022,redwood_city,sunday,"windy, low of 90f, high of 100f"
10023,exeter,monday,"windy, low of 70f, high of 80f"
10024,exeter,tuesday,"dry, low of 30f, high of 40f"
10025,exeter,wednesday,"warm, low of 90f, high of 100f"
10026,exeter,thursday,"misty, low of 30f, high of 50f"
10027,exeter,friday,"foggy, low of 70f, high of 80f"
10028,exeter,saturday,"humid, low of 90f, high of 100f"
10029,exeter,sunday,"windy, low of 40f, high of 60f"
10054,new_york,monday,"stormy, low of 30f, high of 50f"
10055,new_york,tuesday,"drizzle, low of 20f, high of 40f"
10056,new_york,wednesday,"stormy, low of 60f, high of 70f"
10057,new_york,thursday,"frost, low of 40f, high of 60f"
10058,new_york,friday,"rain, low of 70f, high of 90f"
10059,new_york,saturday,"cloudy, low of 90f, high of 100f"
10060,new_york,sunday,"hail, low of 70f, high of 90f"
10061,inglewood,monday,"overcast, low of 50f, high of 70f"
10062,inglewood,tuesday,"hot, low of 60f, high of 80f"
10064,inglewood,thursday,"overcast, low of 40f, high of 60f"
10065,inglewood,friday,"dry, low of 50f, high of 70f"
10066,inglewood,saturday,"cloudy, low of 80f, high of 100f"
10067,inglewood,sunday,"drizzle, low of 60f, high of 80f"
10068,grand_rapids,monday,"stormy, low of 20f, high of 30f"
10069,grand_rapids,tuesday,"dry, low of 30f, high of 50f"
10070,grand_rapids,wednesday,"rain, low of 40f, high of 50f"
10071,grand_rapids,thursday,"overcast, low of 20f, high of 40f"
10072,grand_rapids,friday,"humid, low of 70f, high of 90f"
10073,grand_rapids,saturday,"windy, low of 30f, high of 40f"
10074,grand_rapids,sunday,"clear skies, low of 90f, high of 100f"
10075,compton,monday,"clear skies, low of 60f, high of 70f"
10076,compton,tuesday,"cloudy, low of 50f, high of 70f"
10078,compton,thursday,"overcast, low of 30f, high of 40f"
10079,compton,friday,"cloudy, low of 60f, high of 70f"
10081,compton,sunday,"overcast, low of 90f, high of 100f"
10082,exeter,monday,"cloudy, low of 80f, high of 100f"
10083,exeter,tuesday,"hail, low of 60f, high of 70f"
10084,exeter,wednesday,"warm, low of 50f, high of 70f"
10085,exeter,thursday,"hot, low of 70f, high of 90f"
10086,exeter,friday,"stormy, low of 80f, high of 100f"
10087,exeter,saturday,"cloudy, low of 20f, high of 40f"
10088,exeter,sunday,"rain, low of 50f, high of 70f"
10090,cleveland,tuesday,"misty, low of 70f, high of 90f"
10091,cleveland,wednesday,"foggy, low of 40f, high of 50f"
10092,cleveland,thursday,"frost, low of 20f, high of 30f"
10093,cleveland,friday,"humid, low of 90f, high of 100f"
10094,cleveland,saturday,"foggy, low of 70f, high of 80f"
10095,cleveland,sunday,"snow, low of 70f, high of 90f"
10097,corona,tuesday,"windy, low of 40f, high of 50f"
10098,corona,wednesday,"hail, low of 40f, high of 60f"
10099,corona,thursday,"dry, low of 50f, high of 60f"
10100,corona,friday,"hot, low of 70f, high of 80f"
10101,corona,saturday,"rain, low of 40f, high of 50f"
10102,corona,sunday,"rain, low of 80f, high of 100f"
10103,compton,monday,"cloudy, low of 60f, high of 70f"
10104,compton,tuesday,"dry, low of 50f, high of 70f"
10105,compton,wednesday,"windy, low of 70f, high of 80f"
10106,compton,thursday,"overcast, low of 80f, high of 90f"
10107,compton,friday,"overcast, low of 20f, high of 40f"
10108,compton,saturday,"dew, low of 90f, high of 100f"
10109,compton,sunday,"windy, low of 60f, high of 80f"
10110,boston,monday,"stormy, low of 50f, high of 60f"
10111,boston,tuesday,"dry, low of 90f, high of 100f"
10112,boston,wednesday,"hail, low of 50f, high of 70f"
10113,boston,thursday,"drizzle, low of 50f, high of 60f"
10115,boston,saturday,"hot, low of 70f, high of 80f"
10117,manhattan,monday,"dew, low of 40f, high of 50f"
10118,manhattan,tuesday,"clear skies, low of 80f, high of 100f"
10119,manhattan,wednesday,"hail, low of 80f, high of 90f"
10121,manhattan,friday,"raining, low of 80f, high of 100f"
10122,manhattan,saturday,"hot, low of 70f, high of 80f"
10123,manhattan,sunday,"overcast, low of 80f, high of 90f"
10124,fresno,monday,"raining, low of 50f, high of 70f"
10125,fresno,tuesday,"clear skies, low of 40f, high of 50f"
10127,fresno,thursday,"cloudy, low of 20f, high of 40f"
10128,fresno,friday,"dew, low of 30f, high of 50f"
10129,fresno,saturday,"dry, low of 30f, high of 50f"
10130,fresno,sunday,"rain, low of 20f, high of 40f"
10131,carson,monday,"cloudy, low of 40f, high of 50f"
10132,carson,tuesday,"rain, low of 70f, high of 90f"
10133,carson,wednesday,"foggy, low of 30f, high of 50f"
10134,carson,thursday,"stormy, low of 30f, high of 40f"
10135,carson,friday,"raining, low of 40f, high of 50f"
10136,carson,saturday,"clear skies, low of 80f, high of 100f"
10137,carson,sunday,"hot, low of 70f, high of 90f"
10140,new_york,wednesday,"raining, low of 80f, high of 100f"
10141,new_york,thursday,"blizzard, low of 30f, high of 40f"
10142,new_york,friday,"windy, low of 80f, high of 90f"
10143,new_york,saturday,"foggy, low of 30f, high of 50f"
10144,new_york,sunday,"clear skies, low of 90f, high of 100f"
10145,oakland,monday,"dry, low of 40f, high of 50f"
10146,oakland,tuesday,"cloudy, low of 20f, high of 40f"
10147,oakland,wednesday,"misty, low of 80f, high of 90f"
10148,oakland,thursday,"overcast, low of 80f, high of 100f"
10149,oakland,friday,"clear skies, low of 80f, high of 100f"
10150,oakland,saturday,"overcast, low of 30f, high of 50f"
10151,oakland,sunday,"overcast, low of 50f, high of 70f"
10153,travelers_lodge,traffic_info,moderate traffic
10162,ravenswood_shopping_center,traffic_info,heavy traffic
10206,swimming_activity,date,the 3rd
10214,dinner,party,brother
10221,tennis_activity,date,sunday
10222,taking_medicine,time,11am
10243,hotel_keen,traffic_info,car collision nearby
10251,san_francisco,monday,"clear skies, low of 70f, high of 80f"
10252,san_francisco,tuesday,"frost, low of 30f, high of 40f"
10253,san_francisco,wednesday,"overcast, low of 70f, high of 80f"
10254,san_francisco,thursday,"dry, low of 30f, high of 40f"
10255,san_francisco,friday,"clear skies, low of 80f, high of 90f"
10256,san_francisco,saturday,"warm, low of 50f, high of 70f"
10257,san_francisco,sunday,"dry, low of 70f, high of 80f"
10258,exeter,monday,"snow, low of 30f, high of 50f"
10259,exeter,tuesday,"snow, low of 20f, high of 30f"
10260,exeter,wednesday,"dry, low of 80f, high of 100f"
10262,exeter,friday,"cloudy, low of 70f, high of 90f"
10263,exeter,saturday,"snow, low of 70f, high of 90f"
10264,exeter,sunday,"blizzard, low of 40f, high of 60f"
10265,durham,monday,"foggy, low of 60f, high of 70f"
10267,durham,wednesday,"dry, low of 70f, high of 90f"
10268,durham,thursday,"cloudy, low of 90f, high of 100f"
10269,durham,friday,"windy, low of 40f, high of 60f"
10270,durham,saturday,"windy, low of 60f, high of 70f"
10271,durham,sunday,"hot, low of 70f, high of 90f"
10272,inglewood,monday,"snow, low of 50f, high of 70f"
10273,inglewood,tuesday,"dry, low of 70f, high of 90f"
10274,inglewood,wednesday,"foggy, low of 50f, high of 60f"
10276,inglewood,friday,"raining, low of 80f, high of 100f"
10277,inglewood,saturday,"windy, low of 20f, high of 30f"
10278,inglewood,sunday,"humid, low of 60f, high of 80f"
10279,new_york,monday,"snow, low of 70f, high of 80f"
10280,new_york,tuesday,"dry, low of 30f, high of 40f"
10281,new_york,wednesday,"drizzle, low of 20f, high of 40f"
10282,new_york,thursday,"windy, low of 30f, high of 40f"
10283,new_york,friday,"drizzle, low of 60f, high of 70f"
10286,mountain_view,monday,"dry, low of 30f, high of 50f"
10287,mountain_view,tuesday,"windy, low of 50f, high of 70f"
10288,mountain_view,wednesday,"raining, low of 80f, high of 100f"
10290,mountain_view,friday,"cloudy, low of 30f, high of 50f"
10291,mountain_view,saturday,"raining, low of 90f, high of 100f"
10292,mountain_view,sunday,"cloudy, low of 20f, high of 40f"
10293,downtown_chicago,monday,"drizzle, low of 90f, high of 100f"
10294,downtown_chicago,tuesday,"foggy, low of 80f, high of 90f"
10295,downtown_chicago,wednesday,"windy, low of 80f, high of 100f"
10296,downtown_chicago,thursday,"overcast, low of 60f, high of 80f"
10297,downtown_chicago,friday,"cloudy, low of 70f, high of 90f"
10298,downtown_chicago,saturday,"foggy, low of 40f, high of 60f"
10299,downtown_chicago,sunday,"foggy, low of 40f, high of 50f"
10301,76,traffic_info,car collision nearby
10310,chef_chu's,traffic_info,road block nearby
10317,pizza_my_heart,distance,8 miles
10335,four_seasons,distance,1 miles
10345,manhattan,monday,"rain, low of 50f, high of 70f"
10346,manhattan,tuesday,"drizzle, low of 70f, high of 80f"
10347,manhattan,wednesday,"raining, low of 50f, high of 70f"
10348,manhattan,thursday,"warm, low of 90f, high of 100f"
10349,manhattan,friday,"humid, low of 50f, high of 70f"
10350,manhattan,saturday,"frost, low of 50f, high of 60f"
10351,manhattan,sunday,"foggy, low of 70f, high of 90f"
10353,durham,tuesday,"cloudy, low of 70f, high of 80f"
10356,durham,friday,"snow, low of 40f, high of 50f"
10357,durham,saturday,"raining, low of 90f, high of 100f"
10358,durham,sunday,"foggy, low of 70f, high of 80f"
10359,downtown_chicago,monday,"overcast, low of 90f, high of 100f"
10360,downtown_chicago,tuesday,"dry, low of 70f, high of 80f"
10361,downtown_chicago,wednesday,"clear skies, low of 50f, high of 70f"
10362,downtown_chicago,thursday,"dry, low of 90f, high of 100f"
10363,downtown_chicago,friday,"foggy, low of 20f, high of 30f"
10364,downtown_chicago,saturday,"clear skies, low of 40f, high of 50f"
10365,downtown_chicago,sunday,"snow, low of 30f, high of 40f"
10366,san_francisco,monday,"rain, low of 60f, high of 80f"
10367,san_francisco,tuesday,"rain, low of 40f, high of 50f"
10368,san_francisco,wednesday,"windy, low of 20f, high of 40f"
10369,san_francisco,thursday,"dry, low of 40f, high of 60f"
10370,san_francisco,friday,"snow, low of 80f, high of 100f"
10371,san_francisco,saturday,"clear skies, low of 20f, high of 40f"
10372,san_francisco,sunday,"drizzle, low of 80f, high of 100f"
10373,brentwood,monday,"foggy, low of 30f, high of 40f"
10374,brentwood,tuesday,"foggy, low of 80f, high of 100f"
10375,brentwood,wednesday,"clear skies, low of 70f, high of 90f"
10376,brentwood,thursday,"drizzle, low of 50f, high of 60f"
10378,brentwood,saturday,"snow, low of 80f, high of 100f"
10379,brentwood,sunday,"cloudy, low of 30f, high of 50f"
10380,los_angeles,monday,"foggy, low of 20f, high of 30f"
10381,los_angeles,tuesday,"drizzle, low of 60f, high of 80f"
10382,los_angeles,wednesday,"hail, low of 30f, high of 50f"
10383,los_angeles,thursday,"hail, low of 90f, high of 100f"
10384,los_angeles,friday,"snow, low of 60f, high of 70f"
10385,los_angeles,saturday,"stormy, low of 30f, high of 50f"
10386,los_angeles,sunday,"clear skies, low of 50f, high of 60f"
10387,danville,monday,"snow, low of 50f, high of 70f"
10388,danville,tuesday,"blizzard, low of 40f, high of 60f"
10389,danville,wednesday,"foggy, low of 20f, high of 40f"
10390,danville,thursday,"drizzle, low of 30f, high of 50f"
10391,danville,friday,"dry, low of 80f, high of 90f"
10392,danville,saturday,"cloudy, low of 80f, high of 90f"
10393,danville,sunday,"snow, low of 20f, high of 40f"
10439,seattle,monday,"clear skies, low of 90f, high of 100f"
10440,seattle,tuesday,"drizzle, low of 50f, high of 60f"
10441,seattle,wednesday,"windy, low of 70f, high of 90f"
10442,seattle,thursday,"dew, low of 80f, high of 100f"
10443,seattle,friday,"dry, low of 50f, high of 70f"
10444,seattle,saturday,"dry, low of 90f, high of 100f"
10445,seattle,sunday,"overcast, low of 50f, high of 60f"
10446,boston,monday,"hail, low of 30f, high of 40f"
10447,boston,tuesday,"hail, low of 50f, high of 70f"
10448,boston,wednesday,"hail, low of 30f, high of 50f"
10449,boston,thursday,"dry, low of 30f, high of 50f"
10450,boston,friday,"overcast, low of 40f, high of 60f"
10452,boston,sunday,"stormy, low of 80f, high of 90f"
10453,manhattan,monday,"hot, low of 70f, high of 90f"
10454,manhattan,tuesday,"frost, low of 40f, high of 60f"
10455,manhattan,wednesday,"warm, low of 80f, high of 90f"
10457,manhattan,friday,"cloudy, low of 30f, high of 40f"
10458,manhattan,saturday,"clear skies, low of 80f, high of 100f"
10459,manhattan,sunday,"rain, low of 40f, high of 60f"
10460,compton,monday,"cloudy, low of 40f, high of 60f"
10461,compton,tuesday,"stormy, low of 20f, high of 30f"
10462,compton,wednesday,"snow, low of 90f, high of 100f"
10463,compton,thursday,"windy, low of 20f, high of 30f"
10464,compton,friday,"windy, low of 20f, high of 40f"
10465,compton,saturday,"overcast, low of 70f, high of 80f"
10466,compton,sunday,"rain, low of 60f, high of 70f"
10467,downtown_chicago,monday,"hot, low of 90f, high of 100f"
10468,downtown_chicago,tuesday,"dew, low of 30f, high of 50f"
10469,downtown_chicago,wednesday,"warm, low of 70f, high of 80f"
10470,downtown_chicago,thursday,"overcast, low of 50f, high of 60f"
10471,downtown_chicago,friday,"dry, low of 40f, high of 60f"
10472,downtown_chicago,saturday,"stormy, low of 50f, high of 60f"
10473,downtown_chicago,sunday,"hot, low of 70f, high of 80f"
10474,san_jose,monday,"overcast, low of 70f, high of 80f"
10475,san_jose,tuesday,"drizzle, low of 50f, high of 70f"
10476,san_jose,wednesday,"blizzard, low of 40f, high of 60f"
10477,san_jose,thursday,"rain, low of 30f, high of 50f"
10478,san_jose,friday,"dew, low of 50f, high of 70f"
10480,san_jose,sunday,"rain, low of 30f, high of 50f"
10481,exeter,monday,"stormy, low of 30f, high of 40f"
10482,exeter,tuesday,"misty, low of 90f, high of 100f"
10483,exeter,wednesday,"misty, low of 50f, high of 70f"
10484,exeter,thursday,"clear skies, low of 70f, high of 90f"
10485,exeter,friday,"hail, low of 20f, high of 30f"
10486,exeter,saturday,"frost, low of 40f, high of 60f"
10487,exeter,sunday,"warm, low of 60f, high of 80f"
10488,fresno,monday,"drizzle, low of 30f, high of 40f"
10489,fresno,tuesday,"drizzle, low of 40f, high of 50f"
10491,fresno,thursday,"hot, low of 60f, high of 70f"
10492,fresno,friday,"snow, low of 70f, high of 90f"
10493,fresno,saturday,"foggy, low of 40f, high of 50f"
10494,fresno,sunday,"rain, low of 70f, high of 90f"
10495,san_francisco,monday,"frost, low of 20f, high of 40f"
10496,san_francisco,tuesday,"cloudy, low of 30f, high of 40f"
10497,san_francisco,wednesday,"humid, low of 80f, high of 100f"
10498,san_francisco,thursday,"overcast, low of 90f, high of 100f"
10499,san_francisco,friday,"rain, low of 90f, high of 100f"
10500,san_francisco,saturday,"rain, low of 50f, high of 60f"
10501,san_francisco,sunday,"drizzle, low of 60f, high of 70f"
10502,cleveland,monday,"dry, low of 20f, high of 40f"
10503,cleveland,tuesday,"drizzle, low of 50f, high of 60f"
10504,cleveland,wednesday,"dry, low of 40f, high of 60f"
10505,cleveland,thursday,"blizzard, low of 30f, high of 50f"
10506,cleveland,friday,"snow, low of 30f, high of 40f"
10507,cleveland,saturday,"dry, low of 80f, high of 90f"
10508,cleveland,sunday,"foggy, low of 80f, high of 100f"
10509,redwood_city,monday,"stormy, low of 50f, high of 70f"
10510,redwood_city,tuesday,"overcast, low of 80f, high of 100f"
10511,redwood_city,wednesday,"dry, low of 30f, high of 40f"
10512,redwood_city,thursday,"rain, low of 80f, high of 100f"
10513,redwood_city,friday,"cloudy, low of 50f, high of 70f"
10514,redwood_city,saturday,"stormy, low of 40f, high of 60f"
10515,redwood_city,sunday,"dry, low of 90f, high of 100f"
10516,carson,monday,"rain, low of 70f, high of 90f"
10517,carson,tuesday,"cloudy, low of 70f, high of 80f"
10518,carson,wednesday,"hot, low of 80f, high of 100f"
10519,carson,thursday,"warm, low of 50f, high of 70f"
10520,carson,friday,"windy, low of 70f, high of 80f"
10521,carson,saturday,"blizzard, low of 20f, high of 40f"
10522,carson,sunday,"drizzle, low of 20f, high of 40f"
10523,compton,monday,"snow, low of 40f, high of 50f"
10524,compton,tuesday,"hail, low of 40f, high of 60f"
10525,compton,wednesday,"cloudy, low of 80f, high of 90f"
10526,compton,thursday,"rain, low of 90f, high of 100f"
10527,compton,friday,"cloudy, low of 20f, high of 40f"
10528,compton,saturday,"rain, low of 90f, high of 100f"
10529,compton,sunday,"frost, low of 30f, high of 50f"
10530,san_mateo,monday,"stormy, low of 30f, high of 50f"
10531,san_mateo,tuesday,"rain, low of 80f, high of 90f"
10532,san_mateo,wednesday,"stormy, low of 90f, high of 100f"
10533,san_mateo,thursday,"drizzle, low of 20f, high of 40f"
10534,san_mateo,friday,"frost, low of 30f, high of 40f"
10535,san_mateo,saturday,"windy, low of 40f, high of 50f"
10536,san_mateo,sunday,"overcast, low of 90f, high of 100f"
10538,new_york,tuesday,"cloudy, low of 60f, high of 70f"
10539,new_york,wednesday,"hot, low of 80f, high of 100f"
10540,new_york,thursday,"hot, low of 90f, high of 100f"
10541,new_york,friday,"rain, low of 30f, high of 40f"
10543,new_york,sunday,"foggy, low of 40f, high of 60f"
10544,fresno,monday,"windy, low of 30f, high of 40f"
10545,fresno,tuesday,"clear skies, low of 70f, high of 90f"
10546,fresno,wednesday,"overcast, low of 60f, high of 80f"
10547,fresno,thursday,"snow, low of 60f, high of 80f"
10548,fresno,friday,"hot, low of 40f, high of 60f"
10549,fresno,saturday,"rain, low of 90f, high of 100f"
10550,fresno,sunday,"rain, low of 40f, high of 60f"
10551,durham,monday,"overcast, low of 90f, high of 100f"
10552,durham,tuesday,"foggy, low of 80f, high of 90f"
10553,durham,wednesday,"raining, low of 70f, high of 90f"
10554,durham,thursday,"foggy, low of 70f, high of 90f"
10555,durham,friday,"clear skies, low of 60f, high of 80f"
10556,durham,saturday,"foggy, low of 60f, high of 70f"
10557,durham,sunday,"clear skies, low of 30f, high of 40f"
10558,grand_rapids,monday,"warm, low of 30f, high of 40f"
10560,grand_rapids,wednesday,"windy, low of 60f, high of 80f"
10562,grand_rapids,friday,"overcast, low of 80f, high of 90f"
10563,grand_rapids,saturday,"cloudy, low of 40f, high of 60f"
10564,grand_rapids,sunday,"raining, low of 40f, high of 60f"
10565,oakland,monday,"hot, low of 30f, high of 40f"
10566,oakland,tuesday,"cloudy, low of 70f, high of 80f"
10567,oakland,wednesday,"overcast, low of 60f, high of 70f"
10568,oakland,thursday,"clear skies, low of 90f, high of 100f"
10569,oakland,friday,"raining, low of 60f, high of 80f"
10571,oakland,sunday,"clear skies, low of 60f, high of 80f"
10572,manhattan,monday,"snow, low of 70f, high of 80f"
10573,manhattan,tuesday,"hot, low of 40f, high of 60f"
10575,manhattan,thursday,"foggy, low of 30f, high of 40f"
10576,manhattan,friday,"warm, low of 40f, high of 60f"
10577,manhattan,saturday,"hot, low of 80f, high of 90f"
10578,manhattan,sunday,"foggy, low of 60f, high of 70f"
10579,mountain_view,monday,"raining, low of 40f, high of 60f"
10581,mountain_view,wednesday,"overcast, low of 70f, high of 90f"
10582,mountain_view,thursday,"rain, low of 30f, high of 40f"
10584,mountain_view,saturday,"cloudy, low of 30f, high of 40f"
10607,danville,monday,"clear skies, low of 50f, high of 70f"
10608,danville,tuesday,"dry, low of 70f, high of 90f"
10609,danville,wednesday,"foggy, low of 30f, high of 50f"
10611,danville,friday,"hail, low of 40f, high of 60f"
10612,danville,saturday,"blizzard, low of 40f, high of 60f"
10614,menlo_park,monday,"foggy, low of 80f, high of 90f"
10615,menlo_park,tuesday,"snow, low of 80f, high of 90f"
10616,menlo_park,wednesday,"overcast, low of 90f, high of 100f"
10617,menlo_park,thursday,"stormy, low of 30f, high of 50f"
10618,menlo_park,friday,"dry, low of 90f, high of 100f"
10619,menlo_park,saturday,"rain, low of 40f, high of 60f"
10620,menlo_park,sunday,"foggy, low of 20f, high of 40f"
10621,brentwood,monday,"cloudy, low of 30f, high of 50f"
10622,brentwood,tuesday,"humid, low of 50f, high of 70f"
10623,brentwood,wednesday,"hot, low of 60f, high of 80f"
10624,brentwood,thursday,"foggy, low of 30f, high of 40f"
10626,brentwood,saturday,"dry, low of 90f, high of 100f"
10629,new_york,tuesday,"cloudy, low of 80f, high of 100f"
10630,new_york,wednesday,"hail, low of 80f, high of 100f"
10631,new_york,thursday,"stormy, low of 70f, high of 90f"
10633,new_york,saturday,"foggy, low of 80f, high of 90f"
10634,new_york,sunday,"windy, low of 60f, high of 70f"
10635,manhattan,monday,"cloudy, low of 40f, high of 50f"
10636,manhattan,tuesday,"dry, low of 30f, high of 40f"
10637,manhattan,wednesday,"stormy, low of 80f, high of 90f"
10638,manhattan,thursday,"hot, low of 60f, high of 70f"
10639,manhattan,friday,"windy, low of 50f, high of 70f"
10640,manhattan,saturday,"rain, low of 80f, high of 90f"
10642,carson,monday,"drizzle, low of 70f, high of 90f"
10643,carson,tuesday,"stormy, low of 40f, high of 50f"
10644,carson,wednesday,"rain, low of 50f, high of 60f"
10645,carson,thursday,"hot, low of 50f, high of 70f"
10647,carson,saturday,"raining, low of 60f, high of 70f"
10648,carson,sunday,"overcast, low of 70f, high of 80f"
10649,mountain_view,monday,"foggy, low of 80f, high of 90f"
10650,mountain_view,tuesday,"snow, low of 50f, high of 60f"
10651,mountain_view,wednesday,"rain, low of 70f, high of 90f"
10652,mountain_view,thursday,"foggy, low of 80f, high of 90f"
10654,mountain_view,saturday,"rain, low of 40f, high of 60f"
10658,webster_garage,distance,1 miles
10684,willows_market,traffic_info,no traffic
10685,willows_market,distance,5 miles
10694,p.f._changs,distance,7 miles
10696,5677_springer_street,traffic_info,car collision nearby
10725,durham,monday,"warm, low of 80f, high of 100f"
10726,durham,tuesday,"warm, low of 70f, high of 90f"
10727,durham,wednesday,"overcast, low of 70f, high of 80f"
10728,durham,thursday,"warm, low of 60f, high of 70f"
10730,durham,saturday,"windy, low of 80f, high of 100f"
10731,durham,sunday,"windy, low of 90f, high of 100f"
10732,mountain_view,monday,"warm, low of 40f, high of 60f"
10733,mountain_view,tuesday,"clear skies, low of 80f, high of 90f"
10734,mountain_view,wednesday,"overcast, low of 30f, high of 40f"
10735,mountain_view,thursday,"cloudy, low of 70f, high of 80f"
10736,mountain_view,friday,"warm, low of 40f, high of 60f"
10737,mountain_view,saturday,"snow, low of 80f, high of 90f"
10739,fresno,monday,"hot, low of 60f, high of 80f"
10740,fresno,tuesday,"warm, low of 30f, high of 40f"
10741,fresno,wednesday,"warm, low of 90f, high of 100f"
10742,fresno,thursday,"warm, low of 40f, high of 60f"
10744,fresno,saturday,"rain, low of 60f, high of 80f"
10745,fresno,sunday,"overcast, low of 60f, high of 80f"
