inputs,outputs
"car i need to get to some rest stop, i'm tired, please find something in the local area Hotel_Keen is 6 miles away. what is the address?",Hotel_Keen is at 578 arbol dr.
"find out if it's supposed to rain what city are you located in that you would like the rain forecast for? i am in inglewood, find out if there is going to be rain tomorrow car. rain is not predicted to fall in ingelwood tomorrow, although inglewood_tuesday_weather is. thank you car!",anytime human!
car i need a parking garage closest to my position: help me please! Webster_Garage is 4 miles away. is that the closest one? if so send me the address as soon as possible.,Webster_Garage is at 880 ames ct.
"what is the date, time, and agenda of my next conference?",your next conference is on conference_date at conference_time to conference_agenda.
"what's the weather forecast in new_york new_york is forecasted to be windy with a low of 60f and a high of 80f. okay, will it be humid in new_york next week?",it will not be humid in new_york next week.
what is the date and time of my next tennis_activity?,your next tennis appointment is tennis_activity_date at 4 pm.
what is the date of my lab_appointment and who will be attending it?,"i have two lab_appointments, which one did you want? one is for the 9th at 9 am with ana and one is for the 13th at 4pm with your brother."
"show me the nearest shopping mall we are 1 miles away from Stanford_Shopping_Center: does it sound good to you? give me the address. the address is Stanford_Shopping_Center_address, i sent it on your screen set gps for a route without any traffic. there is Stanford_Shopping_Center_traffic_info but you should be able to reach it fast anyway is there an alternate mall with no traffic on the route?",no that's the closest and fastest available.
please give me the address and directions via a route with Dominos_traffic_info to the nearest pizza restaurant.  dominos is at Dominos_address. it is Dominos_distance away with Dominos_traffic_info. setting directions now.  thank you.,you are welcome
will there be drizzle in camarillo this week?,there will be camarillo_tuesday_weather on tuesday but no drizzle in the forecast for camarillo this week.
what is the temperature outside,for what city do you want the current temperature for?
give me directions to the nearest starbucks there is no starbucks nearby. any other place for coffee?,coupa is nearby for coffee.
directions to coffee and tea house,here are directions to teavana.
"take me to my friends house i don't have your friends house in my memory, sorry, do you mean you want to go home? yes please. navigating you home. what is the address?",your home is at home_address.
"i need to find out the date and time of my dentist_appointment, please.",you have two dentist_appointments scheduled. one on monday at 4pm and another on the 12th at 1pm.
what's the weekly weather report for the city,what city please.
find starbucks,there are no starbucks nearby.
"car what is the temperature going to be today and tomorrow which city would you like today and tomorrow's temperature for? alhambra, please in ahlambra the temperature will be low 30f andalhambra_thursday_high today, andalhambra_tuesday_low andalhambra_tuesday_high tomorrow thank you",you're welcome!
pull up directions to 5672 barringer street,i don't see 5672 barringer street nearby; can you confirm that that is the destination you want?
"take me to the nearest starbucks please there is no starbucks nearby, but Palo_Alto_Cafe is 3 miles away. would you like to go there?  yes please, but please avoid all traffic.  there is Palo_Alto_Cafe_traffic_info on our way but you should reach fast anyway, i sent the route on your screen could you confirm the address please?",the address is Palo_Alto_Cafe_address. setting navigation now via the quickest route.
i have a dinner on tuesday what time is your dinner on tuesday? it is at 3pm,okay i will set a reminder for dinner on tuesday at 3 pm.
"what is the weather going to be today and tomorrow what city would you like the weather for? compton, please! it will be between 70-90f on monday and 90-100f on tuesday in compton. thank you.",you're welcome.
add a meeting to my calendar for what time and date would you like to schedule your meeting for?  wednesday at 2 pm. it is with hr to go over the budget.  reminder has been set thanks,you are welcome
"check weather forecast for seattle which days are you interested in? for right now car.  in seattle is seattle_monday_weather now, with a low temperature of 60f, and aseattle_monday_high thank you.",you are very welcome.
is it supposed to manhattan_tuesday_weather today,what city would you like me to check if it will be manhattan_tuesday_weathering today?
"schedule a reminder to take medicine with my aunt on the 10th at 1pm. okay, scheduling a reminder to take medicine with your aunt on the 10th at 1pm. thanks!",you are welcome.
schedule a swimming activity with marie for friday at 1pm. reminder for swimming with marie on friday at 1pm is set.  thank you.,no problem
schedule conference.  what details shall i add to your conference reminder? set it for today at 4pm with my boss,anything else?
"put my optometrist appointment in my calendar okay, what time is your optometrist appointment?",what date and time is your appointment?
find home address for me within 4 miles.,your home is at home_address.
check weather forecast for seattle which days are you interested in? for right now car.,"in seattle is seattle_monday_weather now, with a low temperature of 60f, and aseattle_monday_high"
"what is the weather like in new_york this week this week the weather in new_york has a mix of snow, rain, fog, and clear skies with a blizzard. will it be cloudy any day this week? it will not be cloudy and day this week in new_york. thanks.",not a problem.
"get me directions to the mall Town_and_Country at 383 university ave. would you like the route put on the screen? yes, please, and avoid all heavy traffic if possible!","setting navigation to 383 university ave, Town_and_Country_distance away, now."
what is today's weather forecast what city would you like the forecast for? durham,"today's forecast says durham is durham_tuesday_weather, the low temp is 60f and the high is 80f"
"can you set my calendar for football activity at 1pm, the 4th, with tom?","okay, setting a reminder for football activity with tom for the 4th at 1pm."
"can you find me a gas station nearby? we're Chevron_distance away from chevron but there is a Chevron_traffic_info which one is it the quickest way to get there? i picked the quickest way and sent it on your map, navigating there now thank you so much car!","no problem, i'm here to assist you!"
"what is the weather forecast for the weekend what city do you want the weather for? seattle, please tell me if it will be warm this week. the weather forecast in seattle is showing lows in the 70s and highs in the 100s everyday, except for wednesday and friday. those days will not be warm, their highs only are predicted in the 60s. okay, thank you.",no problem
"i'm kind of hungry, locate a pizza shop. there is a Pizza_Chicago 6 miles away. what is the address? Pizza_Chicago	is at 915 arbol dr. thanks!",you're welcome.
"i need directions to a local fast food restaurant please dominos at Dominos_address is located near you. what are the route details to dominos? dominos is located at Dominos_address, Dominos_distance away from you. there is Dominos_traffic_info and you should be able to reach there in less than 2 minutes ok, please give me directions. thank you.",you can see the route on your screen! drive carefully!
"i'm not feeling well show me the fastest route to the nearest hospital we are 3 miles away from Stanford_Childrens_Health: set the gps to go there? yes and pick the fastes route please yes and pick the fastes route please navigating to Stanford_Childrens_Health. this route to Stanford_Childrens_Health has no traffic and is the quickest route. do you care for the address? i'm not feeling well, just show me the fastest route please Stanford_Childrens_Health is located at 899 ames ct. and i set the gps.  thank you car, let's go there",you're welcome!
find out if it will be cloudy on monday in cleveland. it will be clear on monday in cleveland. thank you very much.,you are very welcome.
"check forecast for today and tomorrow what city can i give you today and tomorrow's forecast for? in san_francisco, please.  san_francisco will be windy today between 50-70f and clear tomorrow with a low of 30f and high of 40f. thanks.",no problem.
car i need a parking garage! Stanford_Oval_Parking is a parking garage that is only 1 mile away. what is the address?,Stanford_Oval_Parking is located at 610 amarillo ave.
"car i'm desiring to do some shopping: which one is it the nearest shopping center? anything within 4 miles? sorry, Town_and_Country is the nearest one at 8 miles. ok what is the address?",383 university ave is the address for Town_and_Country
what's the lowest temperature in redwood_city this week? it will be 30f in redwood_city on monday. thanks.,"you're welcome, anything else?"
is it snowing next week,in which city do you want to know if it will snow?
find out if it's supposed to rain,what city shall i check for rain?
i need a hospital within 5 miles of me and the quickest route please. Stanford_Express_Care is located at 214 el camino real. would you like directions there? yes please.,setting navigation now.
what is the weather today in tomorrow in what location would you like the weather? i want to know if it will be humid in alhambra today.,"no, it will not be humid in alhambra today. it is alhambra_monday_weather with aalhambra_monday_low, and aalhambra_monday_high."
where can i get gas? the nearest gas station is Shell_distance away. need more info? what is the address?,"shell is located at Shell_address, i sent its position to your screen"
where is the closest chinese restaurant?,the closest chinese restaurant is Jing_Jing_distance away.
"i need information about my conference.  your conference is on conference_date at conference_time with conference_party in conference_room to conference_agenda.  ok, great.",you're welcome
what is the weather like this week you would like to know what the weather is like for what city? will it be hot in grand_rapids this week? it will not be hot in grand_rapids this week. thank you.,no problem.
"what is the temperature outside where are you located? what is the temperature in camarillo right now? right now the temperature in camarillo is acamarillo_friday_low and acamarillo_friday_high. great, thank you",you're welcome!
is it currently windy in fresno?,it is currently fresno_saturday_weather in fresno - i do not have wind data.
"which days will be san_mateo_sunday_weather this week for which city would you like to know that?   what city would you like the san_mateo_sunday_weather weather information for? will it be cloudy in san_mateo this week? this week in san_mateo it will be cloudy on monday and sunday. okay, thank you!",no problem!
i'm desiring to eat at some chinese restaurant: please pick the nearest one! Chef_Chu's is the closest chinese. great. how do i get there?,Chef_Chu's is located at 593 arrowhead way.
i need to schedule yoga with martha.  what time shall i set the reminder for yoga with martha? set it for 9 am on the tenth please.,"okay, setting a reminder for your yoga activity with martha at 9 am on the 10th."
tomorrow's forecast what city do you want the weather for? fresno it will be fresno_monday_weather and between 40-60f in fresno tomorrow. thank you.,glad to assist you.
i have to go grocery shopping can you give me directions to the nearest grocery store the nearest grocery store is Whole_Foods which is two miles away at 819 alma st.  pick a quick route to go there and send the address on my map please! sending the address and route to Whole_Foods at 819 alma st to your map. thank you.,"you're welcome, glad i could help."
what route can i take home to avoid traffic,"there is home_traffic_info in this moment and we're just home_distance away from home, you will reach in few minutes"
"what's the weather like what city would you like the weather for? i want to know if it will compton_monday_weather in compton on sunday on sunday in compton there isn't any compton_monday_weather predicted, only compton_sunday_weather. thank you car!",you're welcome my driver!
where can i go shopping? Stanford_Shopping_Center is 3 miles away. is that the closest shopping center to my location?,"yes, Stanford_Shopping_Center is the closest."
"where can i go shopping? Stanford_Shopping_Center is 3 miles away. is that the closest shopping center to my location? yes, Stanford_Shopping_Center is the closest. what is the address? Stanford_Shopping_Center is 3 miles away at 773 alger dr. please note there is a road block reported nearby.  oh okay let's start the route now then please.  i sent the info on your screen, drive carefully! thank you car!",you're welcome!
which days are rain forecasted,what city do you want to hear the rain prediction for?
"what will the weather be like tomorrow what location do you need information about? what is the highest temperature in brentwood tomorrow? the highest temperature in brentwood will bebrentwood_wednesday_high tomorrow, monday.  thanks.",you are welcome.
i need the route with the shortest distance to a parking garage in the area Webster_Garage is located at 880 ames ct. it is 2 miles away.  can you provide me with the shortest distance to reach there? unfortunately there is a Webster_Garage_traffic_info but i already sent on your screen another route to reach the garage fast enough thanks sounds good.,drive carefully!
find me chinese restaurants within 3 miles of my current location,i'm sorry but the nearest one is P.F._Changs_distance away: go there anyway?
"find nearest chinese restaurant there is Panda_Express 6 miles away: send you the coordinates on screen? send me the quickest route to Panda_Express. setting quickest route to Panda_Express on gps now. would you like the address? yes, please, send it on my map, thank you! i sent the address Panda_Express_address on your map: is there anything else i could do for you? that's it, thank you very much car!","you're welcome, i'm here to assist you!"
where can i get tea?,there is two tea shops nearby; one 8 miles away and one 1 mile away but with a Coupa_traffic_info noted. your choice?
"what day and time is my dentist_appointment? your dentist_appointment is set for saturday at 11 am.  great, thanks",is anyone coming with you?
will it san_mateo_sunday_weather anytime in the next week what city do you want the weather for? will it rain in san_mateo next week? it will rain on both saturday and sunday in san_mateo. thank you.,no trouble at all.
when is the football? the football game is football_activity_date at 9 am.  who is going? alex will be at the football_activity on friday at 9 am. thank you,no problem
navigate to the nearest fast food restaurant,we are 5 miles away from the pizzeria Round_Table: does it sound good to you?
set a reminder for optometrist appointment on the 15th at 6pm with marie.,"okay, i am scheduling a optometrist appointment with marie on the 15th at 6pm for you now."
what's the forecast going to be for today and tomorrow,what city would you like the weather forecast for?
"i'm looking for a place to eat can you show me directions to the nearest fast food restaurant the nearest fast food restaurant is Round_Table, would you like directions? yes please, the address. the Round_Table pizza restaurant is located at 113 anton ct is this within 3 miles? if so please give me route details. yes Round_Table is located 2 miles away with heavy traffic at 113 anton ct.  thank you car, set the fastest route to go there please","i've picked on the screen the fastest route for you, drive carefully!"
schedule a meeting with the vice president to discuss the company picnic on sunday at 2pm.,i have set a schedule for a meeting with the vice president to discuss the company picnic on sunday at 2pm.
what's the weather forecast for today and tomorrow what city please? fresno. today in fresno the low temperature should be in teh 50s with a high in the 60s. tomorrow is predicted to be fresno_tuesday_weather with afresno_saturday_low and afresno_tuesday_high. thank you!,no problem
can you find me the fastest route to a pizza restaurant?,"the Pizza_Hut is located 5 miles away in heavy traffic, and Papa_Johns is 6 miles away in moderate traffic. which of these would you prefer?"
will it be cloudy,what city are you located in?
is it going to rain this week,where are you wanting to know if it's going to rain?
what day and time is my yoga class? your yoga_activity is on the 3rd at 10 am. thank you kindly.,you are welcome.
what's the weather going to be like this week what city are you interested in knowing about? is it going to drizzle in downtown_chicago anytime this week? it is predicted to drizzle in downtown_chicago on saturday. thanks for the heads up.,you're welcome!
what is the date and time of my next lab_appointment.,your next lab_appointment is on the 1st at 10am.
where is there chinese food?,i have a chinese restaurant that is 5 miles away named Jing_Jing. need more info?
what's the temperature going to be like on friday,what city would you like the temperature for on friday?
how many hotels are around here,i see 2 nearby hotels including Four_Seasons and The_Clement_Hotel.
"car i need a parking garage in the area, pick a quick route too",the Stanford_Oval_Parking is near.
"schedule me a meeting today at 3pm, with management to onboard new members. i will schedule you a meeting today at 3pm, with management to onboard new members.  thanks.",no problem.
"car i need to get to my friends house, it should be around here: could you please show on the map the fastest road to get there? i have a listing for jack, is that the friend? yes, please send me the address. jack's house at 864 almanor ln is 4 miles away, however there is a road block nearby. this doesn't sound promising.. please pick the fastest route and let's go there anyway",setting the fastest route to 864 almanor ln.
"what day is my optometrist_appointment  and with who? your optometrist_appointment is on saturday with your brother okay wonderful, thanks so much!",you're welcome! the appointment starts at optometrist_appointment_time also.
what time do the lab results come in,your lab results should be in at 11am monday.
"what is the weather like for tomorrow night what location do you want the weather for? i'm in boston, will it be cloudy tomorrow?",it is not predicted to be cloudy in boston tomorrow.
is it supposed to rain this week what city are you inquiring about? menlo_park. there will be no rain this week in menlo_park.  thank you!,you're welcome!
will it be camarillo_thursday_weather tomorrow in atherton?,it will be camarillo_thursday_weather in camarillo on tuesday.
"check forecast for new_york the weather forecast in new_york is windy, the low is 40f and the high is 60f. thank you. i would like to know if there will be frost in new_york anytime over the next 7 days?",frost is predicted in new_york on saturday.
what is the time of my swimming_activity and who is attending?,your swimming_activity is at 4 pm with alex.
what is the weather for next week what city do you need weather information for? will it be cloudy in los_angeles next week? it will be cloudy on tuesday in los_angeles. thank you.,you are very welcome!
is it raining in fresno now? it is not raining in fresno right now okay thank you,glad i could help out
can you find out the date and parties attending for my tennis_activity?  your brother will be attending your tennis_activity on tuesday. thank you,no problem
tell me what the temperature will be like for the next week for what city? grand_rapids in grand_rapids the temperature is predicting lows in the 20f and highs in the 90f. thanks.,not a problem.
find out if it's supposed to rain,where would you like to know about the forecast for rain?
what is the weather like today in tomorrow what city are you inquiring about? will it be cloudy in compton today? compton is not showing a forecast for cloudy skies today. ok.,you are welcome.
"show me the route to coffee shop we are Teavana_distance away from teavana: would you like me to send you its address on screen? is it the quickest to get to from my current location? yes teavana is the only place close to you at Teavana_distance away located at Teavana_address. do you want me to set the gps? set gps on route to avoid Teavana_traffic_info. i found some alternate road, follow your gps and let's hope to not get lost... just kidding! thank you car!",you're welcome.
car i need to go to a shopping center: is there any around me?,we're 2 miles away from Ravenswood_Shopping_Center and 6 miles away from Stanford_Shopping_Center: which one do you prefer?
"show the route to my friend's house are you talking about the friend at 5672 barringer street? actually, can i get the address for my home? your home address is set to home_address. anything else? no sounds great thanks.",goodbye.
"what's the weather like in downtown_chicago today in downtown_chicago is drizzle okay, will you find out if there will be a blizzard there anytime in the next 7 days?",downtown_chicago does not have any weather predictions for a blizzard over the next 7 days
"what is the time and agenda for my meeting, and who is attending?","i have two meetings listed, for which one would you like the information?"
"is there a parking garage near? Dish_Parking is 4 miles away. what is the address? Dish_Parking is located at 550 alester ave is there any traffic on the way? there is no traffic on the way to Dish_Parking. okay, perfect. thanks!","you're welcome, happy to help."
"can you schedule in my dentist appointment today yes i can, for what time would you like that? i would like you to schedule me that dentist appointment at 1pm, today. jon will be coming along .  i have scheduled a dentist appointment with jon today at 1pm. thank you.",have a great day.
locate a nearby shopping mall for me.,Midtown_Shopping_Center is 6 miles away.
is it gonna  manhattan_friday_weather in manhattan during the next seven days?,on friday in manhattan the forcast predicts it will manhattan_friday_weather.
"car i need a pizza restaurant to satisfy my hunger: is there any in the area? there is only 1 pizza restaurant in your area, Pizza_Chicago, would you like me to pull up the route? send me the address then set the quickest route on my gps navigation system.",Pizza_Chicago is at 915 arbol dr and the gps is set.
where is a nearby parking garage? we're 6 miles away from Dish_Parking how is the traffic?,there is Philz_traffic_info near Dish_Parking.
"what is the weather like today what location do you want the weather for? cleveland, please, i'd like to know if it's gonna snow today it will not snow in cleveland today. thanks.",anytime.
when is my tennis match? your tennis_activity is on friday at 11 am. thanks.,your other tennis activities are on tennis_activity_date at 5 pm and on monday at 1 pm.
"what is the temperature for what city? compton, on friday please on friday the temperature in compton will becompton_sunday_low, andcompton_friday_high thanks.",no problem!
what time is my optometrist_appointment and who is attending?,you have two optometrist_appointments scheduled. one at 2pm with marie and the other is also at 2opm but with martha. would you like to know the dates?
"what's the weather like in downtown_chicago the forecast is rain with the highs in the 50s and lows in the 40s.  i need to know if there will be a drizzle in downtown_chicago car, for this friday.","on friday in downtown_chicago it will be hot, there is no prediction of drizzle"
what time is the group meeting,the meeting is at 3pm on meeting_date
is it cloudy today what city would you like to know if there will be alhambra_saturday_weather in? i want to know if it will be cloudy in alhambra today today is gonna be alhambra_monday_weather in alhambra thank you!,you are welcome!
"where can i get gas? i have a couple gas stations listed. which one would you like to know about? pick the quickest one to reach, the one in the shortest distance chevron is the closest gas station. where is chevron? chevron is located 7 miles away from here at 783 arcadia pi. would you like to set the gps to go there? yes, set the gps to that with route details and the quickest route and shortest time there is a Chevron_traffic_info but i found another route and i sent the info on your screen, drive carefully! thank you car!",you're welcome!
"what's the weather like in grand_rapids the weather predicted for grand_rapids is rain, the temperature is a low of 30f with a high of 40f. will it be windy in grand_rapids during next week? it should not be windy next week in grand_rapids. thank you.",you are welcome.
set a reminder for yoga activity at 5 pm on thursday with mother.,setting reminder for yoga activity at 5 pm thursday with mother.
will it be frost in alhambra in next 48 hours?,"no, it's not gonna be frost in alameda today or tomorrow, the weather forecast calls for alhambra_monday_weather today, and alhambra_friday_weather tomorrow"
what is the weather for today what location do you want the weather for? i want to know if it is raining in seattle today,there will be no rain today in seattle.
put on my calendar that i need to get my lab results this thursday at 3:30,where will you pick up the results?
find me a pizza place within 3 miles and avoid all heavy traffic Pizza_My_Heart is at 528 anton ct. it is 4 miles away and there is no traffic.  send me directionsome please.,i updated the map on your screen with the current navigation info: enjoy your trip!
can you find me a coffee place near me? coupa is Coupa_distance away. is there any traffic on the way there? the route to coupa does not have any traffic can you pull up the route and put it on the screen. coupa is Coupa_distance away at Coupa_address. the screen has been set to display the address.  thank you car!,you're welcome; drive safely.
"i want chinese. Panda_Express is 4 miles away. is it the one with the shortest distance? yes Panda_Express is the closest one noted.  okay, give me the details for Panda_Express then Panda_Express is 4 miles away at 842 arrowhead way.  please pick the route with the shortest distance and let's go there, thank you!","setting navigation to Panda_Express, we will arrive shortly."
"what's the weather going to be like today and tomorrow what location do you want the weather for? in alameda, for today and tomorrow if there will be frost.","no, there shouldn't be any frost in alameda tomorrow."
schedule a reminder for a doctor appointment with my father on august 22nd at 10am,"okay, setting a reminder for your doctor's appointment on august the 22nd at 10 am with your father."
"how many hotels are around here there is just The_Westin, it's 4 miles away how is the traffic? there is a The_Westin_traffic_info, it might cost us lot of wait okay, where is The_Westin? The_Westin is at 329 el camino rea 4 miles away with a car collision is nearby,  is there a quick route to reach it? i sent the best possible route on your screen, please drive carefully thank you car assistant","you're welcome, happy to help."
"please tell me the weather for today and tomorrow please tell me what city i can give you today and tomorrows weather forecast about. i want to know if it will be fresno_tuesday_weathering in fresno. yes, fresno_tuesday_weather is in the forecast for today and tomorrow for fresno.  thanks.",happy to help
"give me the address and directions by the route with no traffic to home, please.  home is located home_distance away at home_address in home_traffic_info. setting directions now.  thank you car!","you're welcome, have a great day."
"what is today's weather forecast what city would you like the forecast for? durham today's forecast says durham is durham_tuesday_weather, the low temp is 60f and the high is 80f perfect, thanks.","you're welcome, glad i could help."
"where can i get coffee there is Palo_Alto_Cafe 2 miles away or, if you prefer, philz Philz_distance away give me the address of philz. philz is at Philz_address. thanks so much. is that the fastest route available? no actually there is another coffee shop that's just two miles away. it's called Palo_Alto_Cafe and located at 436 alger dr.  set gps for the fastest route to Palo_Alto_Cafe. setting gps to fastest route to Palo_Alto_Cafe now. thanks bud.",no problem
"car i want to have some tea! is there anything in the area? there is philz, teavana, and cafe venetia. which one is in the shortest distance?",both cafe venetia and philz are 1 mile away through Philz_traffic_info
this week in exeter will it be hot?,this week it's not gonna be hot in exeter
"what's today's and tomorrow's forecast what city do you want the forecast for? i want to know the temperature in danville for what day would you like to know the temperature?  today and tomorrow today monday, will be adanville_friday_low,danville_friday_high and tomorrow also adanville_friday_low,danville_friday_high. thank you car!",you're welcome!
remind me to check for the laboratory results tomorrow,what time do wish me to remind you to check the results for tomorrow?
any chinese restaurant around me? there is a pf changs located within 5 miles of you.  how is the traffic?,unfortunately there is heavy traffic on its direction
"i need you to set a schedule for a meeting at 3pm, the 5th with vice president to onboard new members meeting scheduled for 3 pm on the 5th with the vice president to discuss onboard new members. cool, thanks.",happy to help
"where does my friend live? you have two friends listed, tom and jill. which one do you want to see? i want to see kill, give me the address wirth directions and the fastest route",jill's house is at 347 alta mesa ave. there is a car collision nearby but i sent you another route to get there
will it be exeter_wednesday_weather in exeter in the next 7 days? in exeter it will be exeter_wednesday_weather on wednesday thanks.,you're welcome.
i need a reminder for taking my medicine on august 14th at 7 pm with brother.,scheduled taking medicine at 7 pm on august 14th with brother.
"where can i get chinese food? there are P.F._Changs 2 miles away and Mandarin_Roots 6 miles away: which one do you prefer? pf changs please. setting directions for pf changs. thank you, what is the address?",P.F._Changs is located at 669 el camino real with Mandarin_Roots_traffic_info reported.
is there a grocery store within 5 miles?  there is a safeway located Safeway_distance away; would that do? how's the traffic to there? at this time there is a Safeway_traffic_info. what is the address?,"Safeway_address, i highlighted it on your map"
"where does my friend live? i have a listings for toms_house. is that the friend you speak of? yes, thank you, please pick the shortest distance to reach him!","i sent the info on your screen, drive carefully!"
find me a gas station that i could get to with the least amount of traffic.,there is a chevron 1 mile away.
"take me to my friend's house i don't see your friend's house in the area. home is home_distance away; would you like to go there? yes, please, i wanted to mean my home.. just avoid all heavy traffic!","plotting route to home, avoiding heavy traffic."
"car i'd like to have some coffee, please show me the closest cafe the nearest is philz, 1 mile away, at Philz_address. would you like directions there? yes, please, just pick the quickest route!","unfortunately there is a Philz_traffic_info, we will have to take another route, i updated your map"
"what's the weather like today and tomorrow what city are you in? will it be clear in alameda? it doesnt appear as though it will be clear in alameda. alameda_monday_weather is predicted for today and it should be alameda_sunday_weather tomorrow. okay, thanks",you're welcome!
where is the closest hospital? Stanford_Childrens_Health is 5 miles away. what is the address?,"899 ames ct, we're Stanford_Childrens_Health_distance away, i sent the info on your screen. anything else?!"
i want tea. i have a location for a place that serves tea that is Palo_Alto_Cafe_distance away. you need more info? what is the address? Palo_Alto_Cafe is located at 463 alger dr. want me to set the gps? yes please. thank you.,"you're welcome, glad i could help you."
when is the football event and who is attending?,you have two football events scheduled; one with jeff at 6pm on friday and one with alex at 1pm on the same day.
"check out my appointment check appointment for doctor, optometrist or dentist?  doctor_appointment, i need to find out the agenda.  you have no agenda set, would you like to set one right now? no, that's fine. thanks",you're welcome
send me to the nearest gas station chevron located at Chevron_address is the nearest gas station which is Chevron_distance away. thanks let's go there.,"you're welcome, we should be there shortly."
what is the date and time of my next football_activity?  your football_activity is with jeff at 4pm. thanks!,my pleasure!
can you find me a rest stop. i'm tired.,Four_Seasons	is 7 miles away.
"find me a tea house the closest is Cafe_Venetia, 3 miles away in heavy traffic. would you like directions there? yes, what's the address?",the address is Cafe_Venetia_address. setting navigation now.
i need help finding a grocery store. i have a listing for a grocery store named Sigona_Farmers_Market.  what is the address?,the address is Sigona_Farmers_Market_address. would you like directions there?
"where is there a pizza place near me? Pizza_My_Heart is 4 miles away but a car collision is being reported.  okay, where is Pizza_My_Heart? its address is Pizza_My_Heart_address, i sent the directions on your screen please highlight a quick route on the map for me! here is a quick route to Pizza_My_Heart. thank you very much car! you are welcome driver great!",have a safe trip.
is it going to rain sometime this week,what city are you inquiring about?
where do i live?,your home address is home_address.
schedule your schedule is empty. please schedule a 2 pm yoga activity with jeff on august 14th.,"okay , setting a reminder for your yoga activity with jeff on august the 14th at 2 pm."
"remind me about a optometrist appointment on tuesday at 2 pm, my sister will be coming will set a reminder for optometrist appointment on tuesday at 2pm with sister. okay great, thanks so much!",happy to help
when should i take my medicine next you should take your medicine next on medicine_date at medicine_time please set a reminder for medication  reminder has been set thanks,you're welcome
please set a reminder that i have a conference call with the vp on august 14th at 6pm. okay setting your reminder for your conference call with the vp on august 14th at 6pm thank you,glad to help
car is it going to mountain_view_tuesday_weather today what location are you asking about? i am in mountain_view,it will not snow today in mountain_view.
show directions for the nearest grocery store,"Trader_Joes is located at 408 university ave, 4 miles away in heavy traffic. setting navigation now."
give me directions to the grocery store we are 1 miles away from Whole_Foods and 3 miles away from Sigona_Farmers_Market: where do you want to go? please send me its address and pick a route with no traffic for me! picking a route to Whole_Foods. thank you car!,you are welcome.
find nearest coffee shop,the nearest coffee shop is palo alto coffee.
"give me directions to the closest grocery store we're Safeway_distance away from safeway but there is Safeway_traffic_info in this moment: do i set the gps to go there? pick a quick route and let's go there, thank you car!",navigating to safeway.
set an optometrist appointment for 3pm on the 15th of this month with my aunt,i will set this optometrist appointment for 3 pm on the 15th of this month with aunt.
give me this week's high temperature,what city would you like to know the temperature of?
what is the weather next week in new_york new_york's forecast is mostly overcast for the week with highs in the 90s and lows in the 70s.  thanks,glad i could help out.
are there any chinese places i can get to with no traffic within 5 miles of here?,p.f.changs at 669 el camino real is 1 mile away trough moderate traffic
how cloudy is it going to be for the next week,what city can i tell you about next week's cloudiness?
schedule meeting,sure. what time would you like to have the meeting set?
i need a The_Clement_Hotel_traffic_info route to a rest stop.,the route to The_Clement_Hotel at 657 ames ave is 6 miles and does not have any traffic
"i would like to know what time and day my tennis is.  your tennis_activity is on monday at 3 pm. perfect, thanks!",no problem
schedule a meeting on the 2nd at 3 pm with the infrastructure team to go over quarterly reports.,i will schedule a meeting on the 2nd at 3pm with the infrastructure team to go over quarterly reports.
i need the quickest route to a coffee shop.  there is philz which is currently Philz_distance away from your current location. is there a quick route to reach it?,"yes there is a short route, plotting the shortest route now."
on my calendar set a time for tennis at 12 pm,"okay, what calendar date should i set a reminder for tennis at 12 pm?"
what is the address of  my friend's house? i have two friend listed. which address would you like? pick the quickest one please and avoid all heavy traffic on our route jills_house is the quickest to get to since it is 1 mile away and has only moderate traffic on route. setting gps now. what's the address?,347 alta mesa is the address of jill's house.
schedule an appointment at 5pm at the end of march with tom.,scheduling your appointment with tom at the end of the month at 5 pm.
find me all the nearest hotels,the only rest stop in the area is the Four_Seasons located 5 miles away. do you need the address?
"i need groceries. we're Safeway_distance away from safeway and from sigona farmers market: which one do you prefer? which one has the quickest route? the safeway is at Safeway_address; there is currently Safeway_traffic_info on the road. please show me a quick route to get there, thank you!",there is Safeway_traffic_info on our way but i sent on your screen the fastest route to reach there
"show me the locations of all of the nearby motels the Comfort_Inn located at 753 university ave is the only rest stop i can find. there is a road block nearby, but it is 3 miles away ok, can you navigate us there?","sure, i sent the info on your map, drive carefully!"
what's the temperature going to be like this week what city are you inquiring about? san_francisco.,"the temperature in san_francisco this week will be: low of 90 and a high of 100f on monday, low of 40 and a high of 60f on tuesday, low of 40 and a high of 50f on wednesday, low of 70f and a high of 90f on thursday, low of 20f and a high of 40f on friday, low of 40 and a high of 60f on saturday, and a low of 20 and a high of 30f on sunday."
please let me know the weather forecast for tomorrow for what city would you like the forecast? will it be overcast in manhattan tomorrow?,it will not be overcast in manhattan tomorrow.
what's the temperature for today,tell me what city i should find the temperature for.
"im heading home, what is the address and find me the quickest route with no traffic the quickest route home is home_distance away at home_address.  sounds great, how's the traffic?",there is home_traffic_info noted on the route.
where is the nearest rest stop? nearest rest stop is 3 miles away. how is the traffic there?,there is moderate traffic.
where can i get pizza?,"we're 5 miles away from Pizza_My_Heart, they're loved on yelp! would you like to go there?"
"please schedule a dentist appointment at 3pm the 7th, with aunt. reminder for dinner on the 7th at 3pm with your aunt is set great, thanks.",you're welcome!
i have a dinner. when is it and who is attending your dinner is dinner_date at 7 pm with your dinner_party.  thanks.,happy to help
